date,channel,campaign_name,spend_usd,impressions,clicks,leads_generated
2025-01-01,paid_search,brand_keywords_q1,12500,185000,4200,68
2025-01-01,linkedin_ads,enterprise_decision_makers,18000,95000,1850,42
2025-01-01,content_syndication,ai_voice_whitepaper,8500,45000,890,35
2025-01-01,events,ces_2025_booth,45000,0,0,120
2025-01-01,influencer,tech_youtuber_campaign,15000,520000,8900,85
2025-01-01,paid_search,competitor_keywords_q1,9800,142000,2800,38
2025-01-01,email,nurture_sequence_jan,1200,0,3500,22
2025-02-01,paid_search,brand_keywords_q1,13200,192000,4500,72
2025-02-01,linkedin_ads,enterprise_decision_makers,19500,102000,2100,48
2025-02-01,content_syndication,api_developer_guide,9200,52000,1020,40
2025-02-01,influencer,podcast_sponsorship_feb,22000,380000,6200,95
2025-02-01,paid_search,competitor_keywords_q1,10500,148000,3100,41
2025-02-01,email,nurture_sequence_feb,1200,0,3800,28
2025-02-01,display,retargeting_website_visitors,6800,280000,1400,18
2025-03-01,paid_search,brand_keywords_q1,14100,198000,4800,78
2025-03-01,linkedin_ads,mid_market_campaign,16000,88000,1650,38
2025-03-01,content_syndication,ai_voice_whitepaper,8500,48000,950,32
2025-03-01,events,sxsw_activation,38000,0,0,95
2025-03-01,influencer,tech_youtuber_campaign_v2,18000,610000,10200,110
2025-03-01,paid_search,competitor_keywords_q1,11200,155000,3400,45
2025-03-01,email,nurture_sequence_mar,1200,0,4100,31
2025-03-01,display,retargeting_website_visitors,7200,295000,1520,20
2025-04-01,paid_search,brand_keywords_q2,15000,210000,5200,85
2025-04-01,linkedin_ads,enterprise_decision_makers,21000,110000,2400,55
2025-04-01,content_syndication,agents_platform_guide,10500,58000,1150,45
2025-04-01,influencer,podcast_sponsorship_apr,25000,420000,7100,105
2025-04-01,paid_search,competitor_keywords_q2,12000,162000,3600,48
2025-04-01,email,nurture_sequence_apr,1200,0,4500,35
2025-04-01,display,retargeting_website_visitors,7500,310000,1600,22
2025-04-01,billboard,sfo_airport_terminal_2,55000,0,0,0
2025-05-01,paid_search,brand_keywords_q2,15800,218000,5500,88
2025-05-01,linkedin_ads,mid_market_campaign,17500,94000,1800,42
2025-05-01,content_syndication,agents_platform_guide,10500,61000,1200,48
2025-05-01,events,collision_conference,32000,0,0,82
2025-05-01,influencer,tech_youtuber_campaign_v3,20000,680000,11500,125
2025-05-01,paid_search,competitor_keywords_q2,12800,168000,3800,52
2025-05-01,email,nurture_sequence_may,1200,0,4800,38
2025-05-01,display,retargeting_website_visitors,7800,320000,1700,24
2025-06-01,paid_search,brand_keywords_q2,16500,225000,5800,92
2025-06-01,linkedin_ads,enterprise_decision_makers,22500,118000,2600,58
2025-06-01,content_syndication,creative_platform_ebook,11000,64000,1280,50
2025-06-01,influencer,podcast_sponsorship_jun,28000,450000,7800,115
2025-06-01,paid_search,competitor_keywords_q2,13500,175000,4000,55
2025-06-01,email,nurture_sequence_jun,1200,0,5100,42
2025-06-01,display,retargeting_website_visitors,8200,335000,1800,26
2025-06-01,billboard,sfo_airport_terminal_2,55000,0,0,0
